stadium_tel_code,title,starts_on,days,grade,kind
1,第１４回ドラキリュウカップ・３世代対抗戦,2021-04-08,6,no_grade,uncategorized
1,第４３回デイリースポーツ杯,2021-04-18,6,no_grade,uncategorized
1,第４８回上毛新聞社杯,2021-04-30,5,no_grade,uncategorized
2,第３９回関東日刊紙ボートレース記者クラブ杯,2021-04-13,4,no_grade,uncategorized
2,第３７回日本モーターボート選手会会長賞,2021-04-19,5,no_grade,uncategorized
3,外向発売所開設９周年記念　富士通フロンテック杯,2021-04-08,6,no_grade,uncategorized
3,ゴールデンカップ,2021-04-23,6,no_grade,uncategorized
4,ＢＴＳ河辺開設２６周年記念,2021-04-07,6,no_grade,uncategorized
4,第２０回府中市長杯,2021-04-17,5,no_grade,uncategorized
4,ＢＴＳ黒石開設１２周年記念・ウェーブ２１杯,2021-04-24,6,no_grade,uncategorized
5,第５回住信ＳＢＩネット銀行賞,2021-04-05,6,no_grade,uncategorized
5,ヴィーナスシリーズ第２戦是政プリンセスカップ,2021-04-15,6,no_grade,venus
5,第２８回多摩川さつき杯,2021-04-28,6,no_grade,uncategorized
6,オールレディースＨａｍａＺｏカップ,2021-04-08,6,g3,all_ladies
6,スポーツ報知ビクトリーカップ,2021-04-16,4,no_grade,uncategorized
6,中日新聞東海本社杯,2021-04-22,4,no_grade,uncategorized
6,浜松市長杯争奪戦　やらまいかカップ,2021-04-29,6,no_grade,uncategorized
7,日本財団会長杯争奪戦　蒲郡ムーンライトレース,2021-04-05,7,no_grade,uncategorized
7,東海テレビ『最高のオバハン　中島ハルコ』杯,2021-04-14,6,no_grade,uncategorized
7,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦,2021-04-26,6,no_grade,uncategorized
8,常滑市長杯,2021-04-03,5,no_grade,uncategorized
8,第１５回日本モーターボート選手会会長賞争奪戦,2021-04-10,5,no_grade,uncategorized
8,オールレディース競走レディース笹川杯,2021-04-22,6,g3,all_ladies
9,ルーキーシリーズ第７戦スカパー！・ＪＬＣ杯争奪戦,2021-04-03,7,no_grade,rookie
9,開設６９周年記念　ツッキー王座決定戦,2021-04-13,6,g1,uncategorized
9,津ＰＲ第１戦チャンピオン大集合！,2021-04-22,5,no_grade,uncategorized
9,スポーツニッポンパール賞競走,2021-04-29,6,no_grade,uncategorized
10,三国モーニング　スタートキング争奪戦,2021-04-01,6,no_grade,uncategorized
10,越前海鮮倶楽部杯,2021-04-12,5,no_grade,uncategorized
10,けーぶるちゃん。杯,2021-04-20,5,no_grade,uncategorized
10,ＧＷ三国ボートフェスタ,2021-04-30,5,no_grade,uncategorized
11,ボートピア京都やわた開設１４周年記念,2021-04-04,6,no_grade,uncategorized
11,スポーツニッポン新聞社杯争奪　第４６回八景賞,2021-04-18,6,no_grade,uncategorized
11,びわこヴィーナス！第２回酒処京都新京極スタンド杯,2021-04-29,6,no_grade,venus
12,太閤賞競走開設６５周年記念,2021-04-01,6,g1,uncategorized
12,ルーキーシリーズ第８戦　スカパー！・ＪＬＣ杯競走,2021-04-14,6,no_grade,rookie
12,住之江　ＧＯＬＤ　ＣＵＰ,2021-04-26,4,no_grade,uncategorized
13,「Ｂ面の神戸」ええとこええとこＢＴＳ神戸新開地杯,2021-04-10,5,no_grade,uncategorized
13,ＢＴＳ鳥取開設１０周年記念　鳥取市長杯,2021-04-17,5,no_grade,uncategorized
13,デイリースポーツ杯争奪第３２回ささはら賞競走,2021-04-24,6,no_grade,uncategorized
